date,actual_mean_temp,actual_min_temp,actual_max_temp,actual_precipitation
2022-10-31,47,40,54,0.0
2022-10-30,53,45,60,0.0
2022-10-29,60,50,70,0.03
2022-10-28,63,49,76,0.0
2022-10-27,57,46,67,0.0
2022-10-26,59,50,67,0.0
2022-10-25,58,46,70,0.0
2022-10-24,62,53,70,0.0
2022-10-23,54,51,57,0.05
2022-10-22,55,52,58,0.44
2022-10-21,61,52,70,0.0
2022-10-20,51,39,63,0.0
2022-10-19,51,45,56,0.0
2022-10-18,63,54,72,0.0
2022-10-17,65,57,73,0.0
2022-10-16,66,60,72,0.24
2022-10-15,72,67,77,0.66
2022-10-14,72,65,79,0.0
2022-10-13,61,56,66,0.02
2022-10-12,55,46,64,0.0
2022-10-11,54,50,57,0.48
2022-10-10,57,53,61,0.0
2022-10-09,61,51,70,0.0
2022-10-08,66,56,75,0.0
2022-10-07,67,63,71,0.38
2022-10-06,60,47,72,0.0
2022-10-05,52,43,61,0.0
2022-10-04,60,50,70,0.17
2022-10-03,66,59,72,0.06
2022-10-02,68,62,73,0.0
2022-10-01,68,62,73,0.0
2022-09-30,71,63,79,0.0
2022-09-29,70,64,76,0.0
2022-09-28,73,60,86,0.0
2022-09-27,72,59,84,0.0
2022-09-26,67,55,78,0.0
2022-09-25,62,59,64,0.89
2022-09-24,64,55,73,0.04
2022-09-23,61,50,72,0.0
2022-09-22,65,57,73,0.0
2022-09-21,72,65,79,0.0
2022-09-20,68,56,79,0.0
2022-09-19,65,58,72,0.0
2022-09-18,65,56,74,0.0
2022-09-17,66,56,75,0.0
2022-09-16,67,59,74,0.2
2022-09-15,63,53,72,0.0
2022-09-14,61,53,69,0.0
2022-09-13,66,59,72,0.36
2022-09-12,71,63,78,0.0
2022-09-11,76,67,84,0.0
2022-09-10,75,67,82,0.0
2022-09-09,72,67,76,0.0
2022-09-08,71,67,75,0.0
2022-09-07,75,66,83,0.0
2022-09-06,83,72,93,0.01
2022-09-05,81,72,89,0.0
2022-09-04,78,68,87,0.0
2022-09-03,78,71,85,0.0
2022-09-02,84,74,93,0.18
2022-09-01,82,74,89,0.01
